river_no,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
elevatr,1.9,2.9,4.9,10.2,2.2,2.5,5,9.9,2.2,3.1,5.1,16.2,2.3,3.3,6,10,2.3,3.2,4.8,9.9
taudem,3.1,4.1,4.1,14.9,2.9,4.3,4.3,15.4,3.4,4.6,4.7,16.1,3.2,5,4.9,17,3.8,5.2,4.7,15.3
extract,0.7,1.7,4.7,16.1,0.6,1.5,3.9,14.4,0.7,1.5,3.7,14.6,0.7,1.6,3.9,16.6,0.7,1.6,3.8,15.2
aggregate,0.2,0.6,2.8,15,0.2,0.6,2.1,13.5,0.2,0.6,1.9,13.7,0.24,0.86,2.2,13.8,0.24,0.67,2,14.1
paths,0.002,0.003,0.02,0.45,0.001,0.004,0.43,0.96,0.002,0.004,0.2,0.3,0.001,0.006,0.03,0.45,0.002,0.004,0.03,0.7
