Name,EPSG,CRS,x_outlet,y_outlet,x_ll,x_tr,y_ll,y_tr,zoom,country,continent
Ilfis,23032,ED50/UTM 32N,408219,5198897,406800,423200,5186500,5207500,10,Switzerland,Europe
Toss,23032,ED50/UTM 32N,468696,5264176,461827,502698,5229501,5273676,10,Switzerland,Europe
Inn,23032,ED50/UTM 32N,597703,5182768,539688,611144,5122971,5196534,10,Switzerland,Europe
Rhone,23032,ED50/UTM 32N,339966,5135251,323774,475392,5074241,5182881,10,Switzerland,Europe
